Year,Area
1978,
1979,706099.317
1980,743776.569
1981,688569.466
1982,704472.29
1983,949026.679
1984,922757.692
1985,892037.294
1986,627838.171
1987,873309.149
1989,727488.906
1990,758913.619
1991,840946.294
1992,787241.379
1993,863888.151
1994,868016.386
1995,771817.773
1996,692942.264
1997,687889.499
1998,642808.327
1999,573983.96
2000,712953.046
2001,626860.31
2002,615672.279
2003,547967.178
2004,564712.529
2005,669400.677
2006,546639.257
2007,570962.563
2008,672270.876
2009,705591.892
2010,592668.064
2011,429836.145
2012,664210.224
2013,576878.27
2014,676706.482
2015,631768.489
2016,782783.867
2017,670123.061
2018,597125.776
2019,705892.863
2020,520691.416
2021,582755.091
2022,526410.045
2023,607732.477
2024,515872.237
