year,Percentage_trend_through_year
1978,
1979,-111.42
1980,-11.526
1981,22.956
1982,-6.82
1983,1.701
1984,5.386
1985,13.516
1986,5.523
1987,
1988,8.433
1989,4.101
1990,2.066
1991,1.529
1992,1.209
1993,0.37
1994,0.123
1995,0.83
1996,-0.153
1997,0.013
1998,0.421
1999,0.949
2000,0.498
2001,0.567
2002,1.004
2003,1.151
2004,1.008
2005,0.495
2006,0.191
2007,1.263
2008,1.86
2009,1.92
2010,2.233
2011,2.449
2012,2.246
2013,2.7
2014,3.105
2015,2.94
2016,1.903
2017,1.431
2018,0.922
2019,0.55
2020,0.582
2021,0.217
2022,-0.214
2023,-0.636
